Category,Variable Name,Unit of Measure,Data Type,Description
identifier,encounter_id,None,integer,Unique identifier associated with a patient unit stay
identifier,hospital_id,None,integer,Unique identifier associated with a hospital
identifier,patient_id,None,integer,Unique identifier associated with a patient
demographic,hospital_death,None,binary,Whether the patient died during this hospitalization
demographic,age,Years,numeric,The age of the patient on unit admission
demographic,bmi,kilograms/metres^2,string,The body mass index of the person on unit admission
demographic,elective_surgery,None,binary,Whether the patient was admitted to the hospital for an elective surgical operation
demographic,ethnicity,None,string,The common national or cultural tradition which the person belongs to
demographic,gender,None,string,The genotypical sex of the patient
demographic,height,centimetres,numeric,The height of the person on unit admission
demographic,icu_admit_source,None,string,The location of the patient prior to being admitted to the unit
demographic,icu_id,None,integer,A unique identifier for the unit to which the patient was admitted
demographic,icu_stay_type,None,string,
demographic,icu_type,None,string,A classification which indicates the type of care the unit is capable of providing
demographic,pre_icu_los_days,Days,numeric,The length of stay of the patient between hospital admission and unit admission
demographic,weight,kilograms,numeric,The weight (body mass) of the person on unit admission
labs,d1_glucose_max,mmol/L,numeric,The highest glucose concentration of the patient in their serum or plasma during the first 24 hours of their unit stay
labs,d1_glucose_min,mmol/L,numeric,The lowest glucose concentration of the patient in their serum or plasma during the first 24 hours of their unit stay
labs,d1_potassium_max,mmol/L,numeric,The highest potassium concentration for the patient in their serum or plasma during the first 24 hours of their unit stay
labs,d1_potassium_min,mmol/L,numeric,The lowest potassium concentration for the patient in their serum or plasma during the first 24 hours of their unit stay
vitals,d1_diasbp_max,Millimetres of mercury,numeric,"The patient's highest diastolic blood pressure during the first 24 hours of their unit stay, either non-invasively or invasively measured"
vitals,d1_diasbp_min,Millimetres of mercury,numeric,"The patient's lowest diastolic blood pressure during the first 24 hours of their unit stay, either non-invasively or invasively measured"
vitals,d1_diasbp_noninvasive_max,Millimetres of mercury,numeric,"The patient's highest diastolic blood pressure during the first 24 hours of their unit stay, non-invasively measured"
vitals,d1_diasbp_noninvasive_min,Millimetres of mercury,numeric,"The patient's lowest diastolic blood pressure during the first 24 hours of their unit stay, non-invasively measured"
vitals,d1_heartrate_max,Beats per minute,numeric,The patient's highest heart rate during the first 24 hours of their unit stay
vitals,d1_heartrate_min,Beats per minute,numeric,The patient's lowest heart rate during the first 24 hours of their unit stay
vitals,d1_mbp_max,Millimetres of mercury,numeric,"The patient's highest mean blood pressure during the first 24 hours of their unit stay, either non-invasively or invasively measured"
vitals,d1_mbp_min,Millimetres of mercury,numeric,"The patient's lowest mean blood pressure during the first 24 hours of their unit stay, either non-invasively or invasively measured"
vitals,d1_mbp_noninvasive_max,Millimetres of mercury,numeric,"The patient's highest mean blood pressure during the first 24 hours of their unit stay, non-invasively measured"
vitals,d1_mbp_noninvasive_min,Millimetres of mercury,numeric,"The patient's lowest mean blood pressure during the first 24 hours of their unit stay, non-invasively measured"
vitals,d1_resprate_max,Breaths per minute,numeric,The patient's highest respiratory rate during the first 24 hours of their unit stay
vitals,d1_resprate_min,Breaths per minute,numeric,The patient's lowest respiratory rate during the first 24 hours of their unit stay
vitals,d1_spo2_max,Percentage,numeric,The patient's highest peripheral oxygen saturation during the first 24 hours of their unit stay
vitals,d1_spo2_min,Percentage,numeric,The patient's lowest peripheral oxygen saturation during the first 24 hours of their unit stay
vitals,d1_sysbp_max,Millimetres of mercury,numeric,"The patient's highest systolic blood pressure during the first 24 hours of their unit stay, either non-invasively or invasively measured"
vitals,d1_sysbp_min,Millimetres of mercury,numeric,"The patient's lowest systolic blood pressure during the first 24 hours of their unit stay, either non-invasively or invasively measured"
vitals,d1_sysbp_noninvasive_max,Millimetres of mercury,numeric,"The patient's highest systolic blood pressure during the first 24 hours of their unit stay, non-invasively measured"
vitals,d1_sysbp_noninvasive_min,Millimetres of mercury,numeric,"The patient's lowest systolic blood pressure during the first 24 hours of their unit stay, non-invasively measured"
vitals,d1_temp_max,Degrees Celsius,numeric,"The patient's highest core temperature during the first 24 hours of their unit stay, invasively measured"
vitals,d1_temp_min,Degrees Celsius,numeric,The patient's lowest core temperature during the first 24 hours of their unit stay
vitals,h1_diasbp_max,Millimetres of mercury,numeric,"The patient's highest diastolic blood pressure during the first hour of their unit stay, either non-invasively or invasively measured"
vitals,h1_diasbp_min,Millimetres of mercury,numeric,"The patient's lowest diastolic blood pressure during the first hour of their unit stay, either non-invasively or invasively measured"
vitals,h1_diasbp_noninvasive_max,Millimetres of mercury,numeric,"The patient's highest diastolic blood pressure during the first hour of their unit stay, non-invasively measured"
vitals,h1_diasbp_noninvasive_min,Millimetres of mercury,numeric,"The patient's lowest diastolic blood pressure during the first hour of their unit stay, non-invasively measured"
vitals,h1_heartrate_max,Beats per minute,numeric,The patient's highest heart rate during the first hour of their unit stay
vitals,h1_heartrate_min,Beats per minute,numeric,The patient's lowest heart rate during the first hour of their unit stay
vitals,h1_mbp_max,Millimetres of mercury,numeric,"The patient's highest mean blood pressure during the first hour of their unit stay, either non-invasively or invasively measured"
vitals,h1_mbp_min,Millimetres of mercury,numeric,"The patient's lowest mean blood pressure during the first hour of their unit stay, either non-invasively or invasively measured"
vitals,h1_mbp_noninvasive_max,Millimetres of mercury,numeric,"The patient's highest mean blood pressure during the first hour of their unit stay, non-invasively measured"
vitals,h1_mbp_noninvasive_min,Millimetres of mercury,numeric,"The patient's lowest mean blood pressure during the first hour of their unit stay, non-invasively measured"
vitals,h1_resprate_max,Breaths per minute,numeric,The patient's highest respiratory rate during the first hour of their unit stay
vitals,h1_resprate_min,Breaths per minute,numeric,The patient's lowest respiratory rate during the first hour of their unit stay
vitals,h1_spo2_max,Percentage,numeric,The patient's highest peripheral oxygen saturation during the first hour of their unit stay
vitals,h1_spo2_min,Percentage,numeric,The patient's lowest peripheral oxygen saturation during the first hour of their unit stay
vitals,h1_sysbp_max,Millimetres of mercury,numeric,"The patient's highest systolic blood pressure during the first hour of their unit stay, either non-invasively or invasively measured"
vitals,h1_sysbp_min,Millimetres of mercury,numeric,"The patient's lowest systolic blood pressure during the first hour of their unit stay, either non-invasively or invasively measured"
vitals,h1_sysbp_noninvasive_max,Millimetres of mercury,numeric,"The patient's highest systolic blood pressure during the first hour of their unit stay, non-invasively measured"
vitals,h1_sysbp_noninvasive_min,Millimetres of mercury,numeric,"The patient's lowest systolic blood pressure during the first hour of their unit stay, non-invasively measured"
APACHE comorbidity,aids,None,binary,Whether the patient has a definitive diagnosis of acquired immune deficiency syndrome (AIDS) (not HIV positive alone)
APACHE comorbidity,cirrhosis,None,binary,"Whether the patient has a history of heavy alcohol use with portal hypertension and varices, other causes of cirrhosis with evidence of portal hypertension and varices, or biopsy proven cirrhosis. This comorbidity does not apply to patients with a functioning liver transplant."
APACHE comorbidity,diabetes_mellitus,None,binary,"Whether the patient has been diagnosed with diabetes, either juvenile or adult onset, which requires medication."
APACHE comorbidity,hepatic_failure,None,binary,"Whether the patient has cirrhosis and additional complications including jaundice and ascites, upper GI bleeding, hepatic encephalopathy, or coma."
APACHE comorbidity,immunosuppression,None,binary,"Whether the patient has their immune system suppressed within six months prior to ICU admission for any of the following reasons; radiation therapy, chemotherapy, use of non-cytotoxic immunosuppressive drugs, high dose steroids (at least 0.3 mg/kg/day of methylprednisolone or equivalent for at least 6 months)."
APACHE comorbidity,leukemia,None,binary,"Whether the patient has been diagnosed with acute or chronic myelogenous leukemia, acute or chronic lymphocytic leukemia, or multiple myeloma."
APACHE comorbidity,lymphoma,None,binary,Whether the patient has been diagnosed with non-Hodgkin lymphoma.
APACHE comorbidity,solid_tumor_with_metastasis,None,binary,Whether the patient has been diagnosed with any solid tumor carcinoma (including malignant melanoma) which has evidence of metastasis.
APACHE covariate,apache_2_diagnosis,None,string,The APACHE II diagnosis for the ICU admission
